Date,AQI_lag1,AQI_lag2,AQI_lag3,AQI_lag7,AQI_3d_avg,AQI_7d_avg,Pm2.5_lag1,Pm2.5_lag2,Pm2.5_lag3,Pm2.5_3d_avg,Pm10_lag1,Pm10_lag2,Pm10_lag3,Pm10_3d_avg,No2_lag1,No2_lag2,No2_3d_avg,So2_lag1,So2_3d_avg,Co_lag1,Co_3d_avg,wind_pm25,temp_humidity,sin_day,cos_day,day_of_week,AQI_target
1/17/2012,328,91,273,215,230.3333333,283.4285714,184.99,115.54,89.19,166.3066667,188.76,196.29,186.14,221.5533333,68.7,22.52,55.24333333,41.48,39.62333333,2.55,4.153333333,565.4115,2908.292,0.288482433,0.957485188,1,272
1/18/2012,272,328,91,244,321.3333333,300.5714286,198.39,184.99,115.54,140.3633333,279.61,188.76,196.29,224.1033333,74.51,68.7,54.21,38.62,42.66,2.05,4.74,118.0323,2640.032,0.304921225,0.952377576,2,364
1/19/2012,364,272,328,398,259,263.8571429,37.71,198.39,184.99,93.4,203.94,279.61,188.76,224.16,19.42,74.51,42.06,47.88,44.66,9.62,6.156666667,153.909,2722.312,0.321269662,0.946987753,3,141
1/20/2012,141,364,272,378,308.3333333,269.8571429,44.1,37.71,198.39,32.19666667,188.93,203.94,279.61,208.9733333,32.25,19.42,20.82666667,47.48,45.21,6.8,7.05,54.8338,3591.703704,0.3375229,0.941317318,4,420
1/22/2012,420,141,364,273,208.3333333,240,14.78,44.1,37.71,81.53666667,234.05,188.93,203.94,198.6233333,10.81,32.25,36.94333333,40.27,39.96,4.73,5.56,622.1955,3471.414,0.369724543,0.929141411,6,64
1/24/2012,64,420,141,91,326.0133333,297.5771429,185.73,14.78,44.1,89.35666667,172.89,234.05,188.93,196.62,67.77,10.81,53.45,32.13,32.99333333,5.15,6.513333333,318.2076,3120.516,0.401487989,0.915864288,1,494.04
1/25/2012,494.04,64,420,328,283.3466667,292.4342857,67.56,185.73,14.78,144.8333333,182.92,172.89,234.05,213.0833333,81.77,67.77,67.35666667,26.58,31.52333333,9.66,5.833333333,860.7475,2562.854,0.417193603,0.908817637,2,292
1/26/2012,292,494.04,64,272,366.3466667,298.2914286,181.21,67.56,185.73,90.86333333,283.44,182.92,172.89,190.5166667,52.53,81.77,64.33,35.86,37.40666667,2.69,4.66,111.7158,2926.404,0.432775593,0.901501684,3,313
1/27/2012,313,292,494.04,364,359,313.72,23.82,181.21,67.56,110.1833333,105.19,283.44,182.92,182.51,58.69,52.53,57.84666667,49.78,35.95,1.63,4.736666667,884.916,2505.77,0.448229342,0.893918597,4,472
1/29/2012,472,313,292,141,329,322.4342857,125.52,23.82,181.21,104.2833333,158.9,105.19,283.44,95.19333333,62.32,58.69,50.02666667,22.21,36.64,9.89,5.37,609.8923,1178.658,0.47873384,0.877960085,6,202
1/30/2012,202,472,313,420,355,318.2914286,163.51,125.52,23.82,110.4966667,21.49,158.9,105.19,83.84333333,29.07,62.32,54.48666667,37.93,35.34666667,4.59,5.043333333,130.3522,2113.452,0.49377555,0.869589389,0,391
1/31/2012,391,202,472,64,338,369.2914286,42.46,163.51,125.52,74.74,71.14,21.49,158.9,92.6,72.07,29.07,60.52,45.9,34.07333333,0.65,4.363333333,57.8525,3225.06,0.508670944,0.860961016,1,421
2/1/2012,421,391,202,494.04,344.6666667,330.4285714,18.25,42.46,163.51,36.27,185.17,71.14,21.49,142.87,80.42,72.07,74.01333333,18.39,22.85333333,7.85,5.896666667,217.412,3253.718,0.523415607,0.852077521,2,222
2/2/2012,222,421,391,292,312.6666667,330.8571429,48.1,18.25,42.46,52.82,172.3,185.17,71.14,216.3566667,69.55,80.42,56.25666667,4.27,9.54,9.19,8.95,408.0473,2938.848,0.538005172,0.842941537,3,295
2/3/2012,295,222,421,313,294.3333333,338.4285714,92.11,48.1,18.25,83.50333333,291.6,172.3,185.17,236.8233333,18.8,69.55,36.58,5.96,8.666666667,9.81,8.293333333,674.0555555,1564.849383,0.552435313,0.833555772,4,366
2/4/2012,366,295,222,472,276.3333333,295,110.3,92.11,48.1,127.86,246.57,291.6,172.3,243.5366667,21.39,18.8,19.35,15.77,8.633333333,5.88,7.42,911.8889999,1648.387654,0.566701756,0.823923006,5,168
2/5/2012,168,366,295,202,252.3333333,298,181.17,110.3,92.11,142.2433333,192.44,246.57,291.6,175.2333333,17.86,21.39,43.22,4.17,17.46666667,6.57,4.423333333,608.67,1747.437037,0.580800273,0.814046094,6,223
2/6/2012,223,168,366,391,255,295.5714286,135.26,181.17,110.3,158.5866667,86.69,192.44,246.57,123.66,90.41,17.86,51.78,32.46,23.50666667,0.82,3.263333333,515.1669999,1844.266667,0.594726687,0.803927962,0,374
2/7/2012,374,223,168,421,284,271.8571429,159.33,135.26,181.17,161.85,91.85,86.69,192.44,114.83,47.07,90.41,53.11666667,33.89,36.79666667,2.4,3.973333333,744.744,2991.288,0.60847687,0.793571609,1,255
2/8/2012,255,374,223,222,278.3333333,269.5714286,190.96,159.33,135.26,141.9266667,165.95,91.85,86.69,125.6333333,21.87,47.07,35.18666667,44.04,30.83333333,8.7,4.8,383.4892,2698.626,0.622046748,0.782980104,2,206
2/9/2012,206,255,374,295,193,244.2857143,75.49,190.96,159.33,151.89,119.1,165.95,91.85,144.4366667,36.62,21.87,33.21666667,14.57,28.21,3.3,4.686666667,675.5154,2391.33,0.635432301,0.772156584,3,118
2/10/2012,118,206,255,366,229.6666667,244.1428571,189.22,75.49,190.96,106.0933333,148.26,119.1,165.95,99.78,41.16,36.62,46.27333333,26.02,28.96666667,2.06,4.616666667,192.852,3027.01,0.648629561,0.761104259,4,365
2/12/2012,365,118,206,168,239.3333333,253.7142857,53.57,189.22,75.49,106.1,31.98,148.26,119.1,77.12,61.04,41.16,55.82666667,46.31,40.52333333,8.49,5.32,321.6726,3773.37,0.674443619,0.738326354,6,235
2/14/2012,235,365,118,223,311.6666667,269.7142857,75.51,53.57,189.22,93.45333333,51.12,31.98,148.26,109.88,65.28,61.04,56.11666667,49.24,42.36,5.41,5.54,586.9664,3016.314,0.699458327,0.714673386,1,335
2/16/2012,335,235,365,374,256.3333333,244.7142857,151.28,75.51,53.57,131.06,246.54,51.12,31.98,138.6233333,42.03,65.28,64.38666667,31.53,29.08,2.72,4.323333333,1011.6512,2161.908,0.723644038,0.690173388,3,199
2/17/2012,199,335,235,255,188,212.5714286,166.39,151.28,75.51,115.3966667,118.21,246.54,51.12,193.3633333,85.85,42.03,71.97,6.47,15.91666667,4.84,4.47,102.672,2070.915,0.735417023,0.677614789,4,30
2/18/2012,30,199,335,206,102.3333333,194.2857143,28.52,166.39,151.28,109.1733333,215.34,118.21,246.54,128.6166667,88.03,85.85,78.98,9.75,10.15,5.85,6.463333333,546.3532,3197.073,0.746972088,0.664855398,5,78
2/19/2012,78,30,199,118,49.33333333,183.1428571,132.61,28.52,166.39,57.47666667,52.3,215.34,118.21,113.5866667,63.06,88.03,83.19666667,14.23,16.31,8.7,6.27,47.121,3385.408,0.758305808,0.651898996,6,40
2/20/2012,40,78,30,365,182.6666667,192.4285714,11.3,132.61,28.52,73.90666667,73.12,52.3,215.34,104.9766667,98.5,63.06,61.35,24.95,22.79666667,4.26,7.393333333,235.7643,3294.61,0.769414827,0.638749422,0,430
2/21/2012,430,40,78,235,297.3333333,219.1428571,77.81,11.3,132.61,56.00666667,189.51,73.12,52.3,132.4266667,22.49,98.5,61.35666667,29.21,23.46333333,9.22,4.626666667,351.1495,2327.3,0.780295851,0.625410573,1,422
2/22/2012,422,430,40,335,372,209,78.91,77.81,11.3,113.1,134.65,189.51,73.12,177.18,63.08,22.49,48.92333333,16.23,29.12666667,0.4,5.043333333,737.6232,2395.904,0.790945657,0.611886401,2,264
2/23/2012,264,422,430,199,393.3466667,251.1485714,182.58,78.91,77.81,92.90333333,207.38,134.65,189.51,149.8866667,61.2,63.08,47.10666667,41.94,21.74666667,5.51,2.84,60.6144,2484.19,0.801361088,0.598180914,3,494.04
2/24/2012,494.04,264,422,30,354.0133333,290.2914286,17.22,182.58,78.91,95.89333333,107.63,207.38,134.65,151.18,17.04,61.2,39.93,7.07,29.12666667,2.61,5.036666667,334.8228,3019.71,0.811539059,0.584298174,4,304
2/25/2012,304,494.04,264,78,417.3466667,344.0057143,87.88,17.22,182.58,82.96,138.53,107.63,207.38,113.2633333,41.55,17.04,47.01666667,38.37,25.19,6.99,4.416666667,728.9646,3366.549,0.821476553,0.570242293,5,454
2/26/2012,454,304,494.04,40,282.3333333,351.0057143,143.78,87.88,17.22,138.9133333,93.63,138.53,107.63,94.89666667,82.46,41.55,60.08666667,30.13,32.52333333,3.65,4.82,788.4408,3239.271,0.831170626,0.556017437,6,89
2/28/2012,89,454,304,430,183.6666667,290.72,185.08,143.78,87.88,114.87,52.53,93.63,138.53,89.75333333,56.25,82.46,79.19,29.07,34.54,3.82,2.92,68.1975,2970.497,0.849817092,0.527077709,1,8
2/29/2012,8,89,454,422,151,281.2914286,15.75,185.08,143.78,114.79,123.1,52.53,93.63,76.26,98.86,56.25,83.38,44.42,34.92,1.29,3.93,620.0928,3476.43,0.858763958,0.512371412,2,356
3/1/2012,356,8,89,264,274,309.0057143,143.54,15.75,185.08,67.05333333,53.15,123.1,52.53,117.1166667,95.03,98.86,75.95666667,31.27,35.77333333,6.68,3.696666667,222.7484,3258.76,0.867456355,0.497513289,3,458
3/2/2012,458,356,8,494.04,342.6666667,269,41.87,143.54,15.75,100.9733333,175.1,53.15,123.1,119.9766667,33.98,95.03,72.08333333,31.63,34.76666667,3.12,4.236666667,780.2664,1886.72,0.875891705,0.482507742,4,214
3/3/2012,214,458,356,304,382.6666667,293.5714286,117.51,41.87,143.54,99.66,131.68,175.1,53.15,116.5666667,87.24,33.98,56.67333333,41.4,35.95333333,2.91,3.006666667,661.704,1417.101111,0.88406751,0.467359217,5,476
3/4/2012,476,214,458,454,311.3333333,263.5714286,139.6,117.51,41.87,112.9566667,42.92,131.68,175.1,145.44,48.8,87.24,73.79666667,34.83,36.32333333,2.99,4.95,336.0336,1514.884,0.891981346,0.452072204,6,244
3/5/2012,244,476,214,89,298,275.7142857,81.76,139.6,117.51,125.2766667,261.72,42.92,131.68,131.1066667,85.35,48.8,49.89333333,32.74,32.99666667,8.95,6.456666667,502.0275,2132.649,0.89963087,0.436651232,0,174
3/6/2012,174,244,476,8,184.6666667,294,154.47,81.76,139.6,145.1266667,88.68,261.72,42.92,175.3166667,15.53,85.35,44.52666667,31.42,34.73666667,7.43,8.043333333,1192.9085,3179.169,0.907013813,0.421100871,1,136
3/7/2012,136,174,244,356,225,295.2857143,199.15,154.47,81.76,131.77,175.55,88.68,261.72,116.42,32.7,15.53,44,40.05,24.67,7.75,6.123333333,253.4752,1447.742222,0.914127988,0.405425728,2,365
3/8/2012,365,136,174,458,184.3333333,237.2857143,41.69,199.15,154.47,119.23,85.03,175.55,88.68,125.05,83.77,32.7,46.71666667,2.54,25.24,3.19,6.656666667,573.7335,1475.2,0.920971288,0.38963045,3,52
3/9/2012,52,365,136,214,271,263.2857143,116.85,41.69,199.15,69.05333333,114.57,85.03,175.55,78.12,23.68,83.77,40.58666667,33.13,14.07666667,9.03,5.743333333,224.6244,1349.04,0.927541684,0.373719715,4,396
3/10/2012,396,52,365,476,167.6666667,203.1428571,48.62,116.85,41.69,63.73666667,34.76,114.57,85.03,65.3,14.31,23.68,26.13,6.56,21.35333333,5.01,7.593333333,105.0192,2149.686,0.933837229,0.357698239,5,55
3/11/2012,55,396,52,244,297,231.1428571,25.74,48.62,116.85,86.38,46.57,34.76,114.57,70.13333333,40.4,14.31,48.82666667,24.37,25.5,8.74,5.36,768.6848,3497.904,0.939856058,0.341570769,6,440
3/12/2012,440,55,396,174,247.6666667,241.7142857,184.78,25.74,48.62,136.5133333,129.07,46.57,34.76,140.2566667,91.77,40.4,46.54333333,45.57,39.01,2.33,5.73,764.2368,3611.322,0.945596387,0.325342085,0,248
3/13/2012,248,440,55,136,285,246.1428571,199.02,184.78,25.74,148.5866667,245.13,129.07,46.57,156.1266667,7.46,91.77,58.6,47.09,44.16,6.12,3.473333333,252.7968,3766.066,0.951056516,0.309016994,1,167
3/14/2012,167,248,440,365,162.6666667,204.4285714,61.96,199.02,184.78,98.65333333,94.18,245.13,129.07,160.82,76.57,7.46,46.59,39.82,42.57666667,1.97,3.993333333,135.7224,3782.596,0.956234827,0.292600336,2,73
3/15/2012,73,167,248,52,232.3333333,262.2857143,34.98,61.96,199.02,46.62333333,143.15,94.18,245.13,92.83666667,55.74,76.57,71.58333333,40.82,42.26666667,3.89,2.086666667,160.9875,4066.664,0.961129784,0.276096973,3,457
3/19/2012,457,73,167,396,270.3333333,245.8571429,42.93,34.98,61.96,44.29666667,41.18,143.15,94.18,152.6133333,82.44,55.74,67.87666667,46.16,35.26,0.4,2.883333333,235.8642,2504.928,0.977848342,0.209314646,0,281
3/20/2012,281,457,73,55,328.6666667,273.4285714,54.98,42.93,34.98,98.49333333,273.51,41.18,143.15,166.7733333,65.45,82.44,80.19666667,18.8,23.61333333,4.36,3.7,612.467,2621.946,0.98130647,0.192451582,1,248
3/21/2012,248,281,457,440,256,244.7142857,197.57,54.98,42.93,93.54666667,185.63,273.51,41.18,200.3066667,92.7,65.45,76.87666667,5.88,16.78666667,6.34,6.52,87.3599,2900.205,0.984473817,0.17553149,2,239
3/22/2012,239,248,281,248,217.3333333,232.8571429,28.09,197.57,54.98,110.97,141.78,185.63,273.51,166.5033333,72.48,92.7,88.05,25.68,13.83333333,8.86,7.32,429,3456.256,0.987349442,0.158559385,3,165
3/23/2012,165,239,248,167,296,278.1428571,107.25,28.09,197.57,76.47666667,172.1,141.78,185.63,132.79,98.97,72.48,61.28,9.94,24.84333333,6.76,8.086666667,333.0786,4011.927,0.989932495,0.141540295,4,484
3/24/2012,484,165,239,73,352,325.8571429,94.09,107.25,28.09,127.5566667,84.49,172.1,141.78,153.5633333,12.39,98.97,48.56333333,38.91,18.48666667,8.64,6.006666667,703.5604,3876.848,0.992222209,0.124479264,5,407
3/27/2012,407,484,165,457,442,322.7142857,181.33,94.09,107.25,135.7033333,204.1,84.49,172.1,185.2966667,34.33,12.39,41.65666667,6.61,28.85,2.62,5.83,509.6403,3291.12,0.997324973,0.07309513,1,435
3/28/2012,435,407,484,281,362.3333333,317.5714286,131.69,181.33,94.09,149.5566667,267.3,204.1,84.49,230.2266667,78.25,34.33,47.29333333,41.03,16.85,6.23,3.206666667,481.5575,3856.251,0.998435421,0.05591699,2,245
3/29/2012,245,435,407,248,349,334.5714286,135.65,131.69,181.33,106.8933333,219.28,267.3,204.1,225.37,29.3,78.25,64.88666667,2.91,25.41333333,0.77,2.48,183.4896,4183.158,0.999250011,0.038722281,3,367
3/30/2012,367,245,435,239,221.3333333,307.8571429,53.34,135.65,131.69,124.4066667,189.53,219.28,267.3,222.66,87.11,29.3,40.87666667,32.3,22.57666667,0.44,2.89,635.5935,4209.745,0.999768502,0.021516097,4,52
4/1/2012,52,367,245,165,224,320.4285714,184.23,53.34,135.65,132.95,259.17,189.53,219.28,186.8066667,6.22,87.11,61.05333333,32.52,28.73666667,7.46,4.833333333,1082.1888,2882.304,0.999916659,-0.012910296,6,253
4/2/2012,253,52,367,484,140,267.7142857,161.28,184.23,53.34,166.55,111.72,259.17,189.53,140.6766667,89.83,6.22,62.11333333,21.39,19.71333333,6.6,7.26,707.5026,2207.8,0.999546281,-0.030120305,0,115
4/3/2012,115,253,52,407,254,265.8571429,154.14,161.28,184.23,108.93,51.14,111.72,259.17,107.1833333,90.29,89.83,77.51,5.23,21.71666667,7.72,4.893333333,40.932,2556.72,0.998879716,-0.047321388,1,394
4/4/2012,394,115,253,435,248.6666667,237.5714286,11.37,154.14,161.28,84.58666667,158.69,51.14,111.72,136.94,52.41,90.29,56.16,38.53,19.85666667,0.36,4.056666667,414.775,3132.974,0.997917161,-0.064508449,2,237
4/5/2012,237,394,115,245,250.3333333,219.7142857,88.25,11.37,154.14,81.56,200.99,158.69,51.14,200.3833333,25.78,52.41,34.65,15.81,23.91333333,4.09,4.483333333,781.8734,2939.034,0.996658902,-0.081676395,3,120
4/6/2012,120,237,394,367,244.3333333,221,145.06,88.25,11.37,97.92333333,241.47,200.99,158.69,238.1066667,25.76,25.78,45.98666667,17.4,24.62,9,6.823333333,310.7644,1812.528,0.995105311,-0.098820139,4,376
4/7/2012,376,120,237,52,281.6666667,263.4285714,60.46,145.06,88.25,73.10333333,271.86,241.47,200.99,201.3133333,86.42,25.76,66.77,40.65,33.84666667,7.38,6.986666667,55.4358,1442.382,0.993256849,-0.1159346,5,349
4/8/2012,349,376,120,253,254,232.5714286,13.79,60.46,145.06,88.41666667,90.61,271.86,241.47,170.94,88.13,86.42,78.62,43.49,40.14666667,4.58,6.303333333,689.51,1792.88,0.991114064,-0.133014707,6,37
4/9/2012,37,349,376,115,262,273.2857143,191,13.79,60.46,112.27,150.35,90.61,271.86,176.81,61.31,88.13,56.87666667,36.3,40.87666667,6.95,5.273333333,510.9174,2162.257,0.98867759,-0.150055398,0,400
4/12/2012,400,37,349,394,166.6666667,226,132.02,191,13.79,142.96,289.47,150.35,90.61,222.55,21.19,61.31,37.90666667,42.84,35.69666667,4.29,5.09,548.3548,3870.994,0.979613692,-0.200890555,3,63
4/14/2012,63,400,37,237,155.6666667,192.7142857,105.86,132.02,191,102.9266667,227.83,289.47,150.35,190.3066667,31.22,21.19,27.32,27.95,32.73,4.03,3.21,374.352,3151.082,0.972118197,-0.23449139,5,4
4/15/2012,4,63,400,120,165,236.7142857,70.9,105.86,132.02,72.15666667,53.62,227.83,289.47,117.26,29.55,31.22,52.19,27.4,30.39666667,1.31,2.293333333,129.0575,3633.252,0.967937783,-0.251190064,6,428
4/16/2012,428,4,63,376,199,206.5714286,39.71,70.9,105.86,67.47333333,70.33,53.62,227.83,55.25,95.8,29.55,65.49,35.84,22.73666667,1.54,1.566666667,293.792,3186.968,0.963470549,-0.267814305,0,165
4/17/2012,165,428,4,349,255.6666667,181.5714286,91.81,39.71,70.9,51.06666667,41.8,70.33,53.62,60.89333333,71.12,95.8,67.71,4.97,29.08,1.85,2.26,71.544,3164.808,0.958717817,-0.284359187,1,174
4/18/2012,174,165,428,37,183.3333333,206.4285714,21.68,91.81,39.71,101.31,70.55,41.8,70.33,108.7433333,36.21,71.12,40.52,46.43,23.35666667,3.39,3.896666667,816.9876,3658.101,0.953680997,-0.300819808,2,211
4/19/2012,211,174,165,400,247.3333333,200.2857143,190.44,21.68,91.81,134.3,213.88,70.55,41.8,167.56,14.23,36.21,36.73333333,18.67,25.87666667,6.45,4.506666667,736.4108,3895.465,0.94836158,-0.317191289,3,357
4/20/2012,357,211,174,63,237,211.7142857,190.78,190.44,21.68,141.5533333,218.25,213.88,70.55,197.9866667,59.76,14.23,54.62333333,12.53,26.15,3.68,6.2,145.0896,3835.342,0.942761143,-0.333468779,4,143
4/21/2012,143,357,211,4,251,247.2857143,43.44,190.78,190.44,91.72666667,161.83,218.25,213.88,191.8266667,89.88,59.76,73.33666667,47.25,34.64,8.47,6.74,142.1312,4117.192593,0.936881346,-0.349647455,5,253
4/22/2012,253,143,357,428,166.6666667,201,40.96,43.44,190.78,92.3,195.4,161.83,218.25,172.7533333,70.37,89.88,74.72,44.14,46.71,8.07,6.513333333,721.875,4456.130864,0.930723931,-0.365722523,6,104
4/24/2012,104,253,143,165,177.3333333,202.4285714,192.5,40.96,43.44,133.5666667,161.03,195.4,161.83,150.6366667,63.91,70.37,48.97,48.74,45.56333333,3,5.766666667,613.7708,4036.608,0.917583626,-0.397542814,1,175
4/27/2012,175,104,253,174,221,232.4285714,167.24,192.5,40.96,135.4833333,95.48,161.03,195.4,146.4,12.63,63.91,36.91333333,43.81,31.52333333,6.23,4.426666667,198.0504,3822.84,0.895839291,-0.444378178,4,384
4/28/2012,384,175,104,211,268.3333333,237.4285714,46.71,167.24,192.5,108.3933333,182.69,95.48,161.03,153.5666667,34.2,12.63,19.77,2.02,28.66333333,4.05,6.12,391.5296,3472.74,0.888057323,-0.459732739,5,246
4/29/2012,246,384,175,357,352,247.2857143,111.23,46.71,167.24,104.7533333,182.53,182.69,95.48,164.1633333,12.48,34.2,23.32,40.16,24.32333333,8.08,5.14,572.1312,4074.837,0.880012204,-0.474951072,6,426
4/30/2012,426,246,384,143,373.3333333,290.8571429,156.32,111.23,46.71,121.0133333,127.27,182.53,182.69,161.4633333,23.28,12.48,30.26666667,30.79,36.53333333,3.29,5.096666667,360.74,4658.825925,0.871706319,-0.490028666,0,448
5/3/2012,448,426,246,253,425.6666667,312.2857143,95.49,156.32,111.23,100.5166667,174.59,127.27,182.53,161.64,55.04,23.28,37.43,38.65,33.79666667,3.92,4.01,215.8716,4360.755,0.845249057,-0.534372558,3,403
5/4/2012,403,448,426,104,428.3333333,359.4285714,49.74,95.49,156.32,88.00666667,183.06,174.59,127.27,185.8033333,33.97,55.04,42.30666667,31.95,33.87333333,4.82,3.123333333,489.4148,4190.616,0.835925479,-0.548842958,4,434
5/5/2012,434,403,448,175,392.6666667,383.1428571,118.79,49.74,95.49,122.23,199.76,183.06,174.59,212.43,37.91,33.97,34.14,31.02,34.05333333,0.63,3.626666667,836.2352,3686.91,0.826354199,-0.563150724,5,341
5/6/2012,341,434,403,384,309,350,198.16,118.79,49.74,125.1433333,254.47,199.76,183.06,185.54,30.54,37.91,24.83,39.19,33.86666667,5.43,4.126666667,223.9784,3978.18,0.816538051,-0.577291617,6,152
5/7/2012,152,341,434,246,230.3333333,343.1428571,58.48,198.16,118.79,123.2866667,102.39,254.47,199.76,188.62,6.04,30.54,15.14666667,31.39,27.31,6.32,6.533333333,454.0122,3556.44,0.806479946,-0.591261445,0,198
5/8/2012,198,152,341,426,145.3333333,294.5714286,113.22,58.48,198.16,103.4833333,209,102.39,254.47,172.51,8.86,6.04,26.67666667,11.35,22.91,7.85,7.773333333,609.1125,3178.032,0.796182864,-0.60505607,1,86
5/9/2012,86,198,152,448,148,253.4285714,138.75,113.22,58.48,108.08,206.14,209,102.39,235.54,65.13,8.86,27.17666667,25.99,23.82,9.15,7.946666667,302.0886,3374.202,0.785649855,-0.618671403,2,160
5/10/2012,160,86,198,403,196.6666667,245,72.27,138.75,113.22,119.12,291.48,206.14,209,210.2933333,7.54,65.13,28.18,34.12,25.08333333,6.84,7.633333333,680.481,4329.815,0.774884041,-0.632103411,3,344
5/11/2012,344,160,86,434,272.6666667,227.8571429,146.34,72.27,138.75,100.64,133.26,291.48,206.14,231.2533333,11.87,7.54,27.76,15.14,19.30333333,6.91,6.223333333,329.9076,4106.102,0.763888613,-0.645348113,4,314
5/12/2012,314,344,160,341,349.6666667,235,83.31,146.34,72.27,128.6566667,269.02,133.26,291.48,166.1766667,63.87,11.87,37.28,8.65,22.40666667,4.92,6.14,561.1888,4190.976,0.752666828,-0.658401585,5,391
5/13/2012,391,314,344,152,277.6666667,231.5714286,156.32,83.31,146.34,85.78,96.25,269.02,133.26,142.37,36.1,63.87,47.44333333,43.43,24.98333333,6.59,4.11,57.5575,4155.294,0.741222011,-0.671259958,6,128
5/14/2012,128,391,314,198,253,237.5714286,17.71,156.32,83.31,97.09333333,61.84,96.25,269.02,100.66,42.36,36.1,34.24333333,22.87,35.58666667,0.82,4.423333333,461.965,3577.344,0.729557554,-0.683919422,0,240
5/15/2012,240,128,391,86,154.3333333,238.8571429,117.25,17.71,156.32,71.49333333,143.89,61.84,96.25,110.9133333,24.27,42.36,42.04333333,40.46,29.77,5.86,4.946666667,330.8032,3455.012,0.717676914,-0.696376226,1,95
5/16/2012,95,240,128,160,167.3333333,239.8571429,79.52,117.25,17.71,80.62,127.01,143.89,61.84,163.4366667,59.5,24.27,33.63333333,25.98,27.13,8.16,6.78,166.833,3610.356,0.70558361,-0.708626678,2,167
5/17/2012,167,95,240,344,122.3333333,205.7142857,45.09,79.52,117.25,65.77666667,219.41,127.01,143.89,181.1466667,17.13,59.5,52.56666667,14.95,26.17666667,6.32,6.01,351.9648,4154.94,0.693281227,-0.72066715,3,105
5/18/2012,105,167,95,314,251.3333333,229.7142857,72.72,45.09,79.52,101.0433333,197.02,219.41,127.01,232.3,81.07,17.13,53.97666667,37.6,32.79666667,3.55,4.796666667,791.3164,3906,0.680773409,-0.732494072,4,482
5/19/2012,482,105,167,391,334.3333333,233.2857143,185.32,72.72,45.09,119.22,280.47,197.02,219.41,196.75,63.73,81.07,77.23666667,45.84,36.63,4.52,3,324.7612,3989.088,0.668063864,-0.74410394,5,416
